Index,relPosN,relPosE,UTC
863,,,
864,0.1568,0.5417,11:15:40.800 03/07/2019
865,,,
866,0.1559,0.5419,11:15:40.980 03/07/2019
867,,,
868,0.1556,0.5410,11:15:41.160 03/07/2019
869,,,
870,0.1572,0.5411,11:15:41.340 03/07/2019
871,,,
872,0.1566,0.5409,11:15:41.520 03/07/2019
873,,,
874,0.1567,0.5410,11:15:41.700 03/07/2019
875,,,
876,0.1563,0.5402,11:15:41.880 03/07/2019
877,,,
878,0.1564,0.5405,11:15:42.060 03/07/2019
879,,,
880,0.1557,0.5400,11:15:42.240 03/07/2019
881,,,
882,0.1554,0.5397,11:15:42.420 03/07/2019
883,,,
884,0.1550,0.5397,11:15:42.600 03/07/2019
885,,,
886,0.1551,0.5397,11:15:42.780 03/07/2019
887,,,
888,0.1555,0.5406,11:15:42.960 03/07/2019
889,,,
890,0.1560,0.5413,11:15:43.140 03/07/2019
891,,,
892,0.1561,0.5417,11:15:43.320 03/07/2019
893,,,
894,0.1566,0.5414,11:15:43.500 03/07/2019
895,,,
896,0.1565,0.5414,11:15:43.680 03/07/2019
897,,,
898,0.1575,0.5421,11:15:43.860 03/07/2019
899,,,
900,0.1573,0.5417,11:15:44.040 03/07/2019
901,,,
902,0.1573,0.5417,11:15:44.220 03/07/2019
903,,,
904,0.1585,0.5414,11:15:44.400 03/07/2019
905,,,
906,0.1580,0.5415,11:15:44.580 03/07/2019
907,,,
908,0.1579,0.5420,11:15:44.760 03/07/2019
909,,,
910,0.1583,0.5422,11:15:44.940 03/07/2019
911,,,
912,0.1590,0.5423,11:15:45.120 03/07/2019
913,,,
914,0.1509,0.5437,11:15:45.300 03/07/2019
915,,,
916,0.1503,0.5424,11:15:45.480 03/07/2019
917,,,
918,0.1503,0.5432,11:15:45.660 03/07/2019
919,,,
920,0.1501,0.5428,11:15:45.840 03/07/2019
921,,,
922,0.1502,0.5426,11:15:46.020 03/07/2019
923,,,
924,0.1500,0.5420,11:15:46.200 03/07/2019
925,,,
926,0.1500,0.5439,11:15:46.380 03/07/2019
927,,,
928,0.1509,0.5441,11:15:46.560 03/07/2019
929,,,
930,0.1495,0.5425,11:15:46.740 03/07/2019
931,,,
932,0.1492,0.5435,11:15:46.920 03/07/2019
933,,,
934,0.1496,0.5428,11:15:47.100 03/07/2019
935,,,
936,0.1492,0.5441,11:15:47.280 03/07/2019
937,,,
938,0.1496,0.5436,11:15:47.460 03/07/2019
939,,,
940,0.1490,0.5428,11:15:47.640 03/07/2019
941,,,
942,0.1499,0.5433,11:15:47.820 03/07/2019
943,,,
944,0.1492,0.5426,11:15:48.000 03/07/2019
945,,,
946,0.1540,0.5423,11:15:48.240 03/07/2019
947,,,
948,0.1544,0.5416,11:15:48.420 03/07/2019
949,,,
950,0.1525,0.5415,11:15:48.600 03/07/2019
951,,,
952,0.1519,0.5412,11:15:48.780 03/07/2019
953,,,
954,0.1535,0.5417,11:15:48.960 03/07/2019
955,,,
956,0.1526,0.5417,11:15:49.140 03/07/2019
957,,,
958,0.1538,0.5413,11:15:49.320 03/07/2019
959,,,
960,0.1537,0.5411,11:15:49.500 03/07/2019
961,,,
962,0.1537,0.5408,11:15:49.680 03/07/2019
963,,,
964,0.1554,0.5423,11:15:49.860 03/07/2019
965,,,
966,0.1558,0.5412,11:15:50.040 03/07/2019
967,,,
968,0.1570,0.5411,11:15:50.220 03/07/2019
969,,,
970,0.1562,0.5417,11:15:50.400 03/07/2019
971,,,
972,0.1538,0.5398,11:15:50.580 03/07/2019
973,,,
974,0.1556,0.5392,11:15:50.760 03/07/2019
975,,,
976,0.1569,0.5394,11:15:50.940 03/07/2019
977,,,
978,0.1582,0.5397,11:15:51.120 03/07/2019
979,,,
980,0.1585,0.5401,11:15:51.300 03/07/2019
981,,,
982,0.1575,0.5406,11:15:51.480 03/07/2019
983,,,
984,0.1583,0.5389,11:15:51.660 03/07/2019
985,,,
986,0.1584,0.5398,11:15:51.840 03/07/2019
987,,,
988,0.1598,0.5409,11:15:52.020 03/07/2019
989,,,
990,0.1602,0.5405,11:15:52.200 03/07/2019
991,,,
992,0.1613,0.5395,11:15:52.380 03/07/2019
993,,,
994,0.1597,0.5401,11:15:52.560 03/07/2019
995,,,
996,0.1594,0.5403,11:15:52.740 03/07/2019
997,,,
998,0.1604,0.5400,11:15:52.920 03/07/2019
999,,,
1000,0.1601,0.5396,11:15:53.100 03/07/2019
1001,,,
1002,0.1607,0.5413,11:15:53.280 03/07/2019
1003,,,
1004,0.1621,0.5407,11:15:53.460 03/07/2019
1005,,,
1006,0.1617,0.5400,11:15:53.640 03/07/2019
1007,,,
1008,0.1634,0.5416,11:15:53.820 03/07/2019
1009,,,
1010,0.1632,0.5414,11:15:54.000 03/07/2019
1011,,,
1012,0.1645,0.5417,11:15:54.180 03/07/2019
1013,,,
1014,0.1650,0.5430,11:15:54.360 03/07/2019
1015,,,
1016,0.1624,0.5414,11:15:54.540 03/07/2019
1017,,,
1018,0.1623,0.5423,11:15:54.720 03/07/2019
1019,,,
1020,0.1639,0.5424,11:15:54.900 03/07/2019
1021,,,
1022,0.1631,0.5424,11:15:55.080 03/07/2019
1023,,,
1024,0.1636,0.5426,11:15:55.260 03/07/2019
1025,,,
1026,0.1642,0.5433,11:15:55.440 03/07/2019
1027,,,
1028,0.1652,0.5440,11:15:55.620 03/07/2019
1029,,,
1030,0.1643,0.5432,11:15:55.800 03/07/2019
1031,,,
1032,0.1662,0.5422,11:15:55.980 03/07/2019
1033,,,
1034,0.1647,0.5437,11:15:56.160 03/07/2019
1035,,,
1036,0.1663,0.5429,11:15:56.340 03/07/2019
1037,,,
1038,0.1655,0.5436,11:15:56.520 03/07/2019
1039,,,
1040,0.1605,0.5450,11:15:56.700 03/07/2019
1041,,,
1042,0.1604,0.5458,11:15:56.880 03/07/2019
1043,,,
1044,0.1606,0.5456,11:15:57.060 03/07/2019
1045,,,
1046,0.1595,0.5441,11:15:57.240 03/07/2019
1047,,,
1048,0.1602,0.5453,11:15:57.420 03/07/2019
1049,,,
1050,0.1601,0.5451,11:15:57.600 03/07/2019
1051,,,
1052,0.1593,0.5443,11:15:57.780 03/07/2019
1053,,,
1054,0.1578,0.5440,11:15:57.960 03/07/2019
1055,,,
1056,0.1573,0.5440,11:15:58.140 03/07/2019
1057,,,
1058,0.1556,0.5441,11:15:58.320 03/07/2019
1059,,,
1060,0.1550,0.5439,11:15:58.500 03/07/2019
1061,,,
1062,0.1520,0.5445,11:15:58.680 03/07/2019
1063,,,
1064,0.1513,0.5454,11:15:58.860 03/07/2019
1065,,,
1066,0.1497,0.5436,11:15:59.040 03/07/2019
1067,,,
1068,0.1494,0.5443,11:15:59.220 03/07/2019
1069,,,
1070,0.1472,0.5432,11:15:59.400 03/07/2019
1071,,,
1072,0.1473,0.5418,11:15:59.580 03/07/2019
1073,,,
1074,0.1462,0.5419,11:15:59.760 03/07/2019
1075,,,
1076,0.1448,0.5401,11:15:59.940 03/07/2019
1077,,,
1078,0.1444,0.5400,11:16:00.180 03/07/2019
1079,,,
1080,0.1436,0.5404,11:16:00.360 03/07/2019
1081,,,
1082,0.1425,0.5405,11:16:00.540 03/07/2019
1083,,,
1084,0.1439,0.5405,11:16:00.720 03/07/2019
1085,,,
1086,0.1422,0.5408,11:16:00.900 03/07/2019
1087,,,
1088,0.1423,0.5394,11:16:01.080 03/07/2019
1089,,,
1090,0.1428,0.5397,11:16:01.260 03/07/2019
1091,,,
1092,0.1430,0.5388,11:16:01.440 03/07/2019
1093,,,
1094,0.1427,0.5380,11:16:01.620 03/07/2019
1095,,,
1096,0.1425,0.5361,11:16:01.800 03/07/2019
1097,,,
1098,0.1427,0.5362,11:16:01.980 03/07/2019
1099,,,
1100,0.1422,0.5354,11:16:02.160 03/07/2019
1101,,,
1102,0.1437,0.5346,11:16:02.340 03/07/2019
1103,,,
1104,0.1441,0.5344,11:16:02.520 03/07/2019
1105,,,
1106,0.1442,0.5340,11:16:02.700 03/07/2019
1107,,,
1108,0.1471,0.5346,11:16:02.880 03/07/2019
1109,,,
1110,0.1510,0.5412,11:16:03.060 03/07/2019
1111,,,
1112,0.1499,0.5401,11:16:03.240 03/07/2019
1113,,,
1114,0.1505,0.5406,11:16:03.420 03/07/2019
1115,,,
1116,0.1513,0.5403,11:16:03.600 03/07/2019
1117,,,
1118,0.1524,0.5393,11:16:03.780 03/07/2019
1119,,,
1120,0.1497,0.5389,11:16:03.960 03/07/2019
1121,,,
1122,0.1502,0.5374,11:16:04.140 03/07/2019
1123,,,
1124,0.1580,0.5390,11:16:04.320 03/07/2019
1125,,,
1126,0.1595,0.5426,11:16:04.500 03/07/2019
1127,,,
1128,0.1591,0.5428,11:16:04.620 03/07/2019
1129,,,
1130,0.1633,0.5444,11:16:04.800 03/07/2019
1131,,,
1132,0.1600,0.5425,11:16:04.980 03/07/2019
1133,,,
1134,0.1617,0.5419,11:16:05.160 03/07/2019
1135,,,
1136,0.1597,0.5423,11:16:05.340 03/07/2019
1137,,,
1138,0.1608,0.5414,11:16:05.520 03/07/2019
1139,,,
1140,0.1604,0.5411,11:16:05.700 03/07/2019
1141,,,
1142,0.1598,0.5411,11:16:05.880 03/07/2019
1143,,,
1144,0.1606,0.5416,11:16:06.000 03/07/2019
1145,,,
1146,0.1608,0.5395,11:16:06.240 03/07/2019
1147,,,
1148,0.1610,0.5408,11:16:06.420 03/07/2019
1149,,,
1150,0.1605,0.5399,11:16:06.600 03/07/2019
1151,,,
1152,0.1604,0.5403,11:16:06.780 03/07/2019
1153,,,
1154,0.1610,0.5412,11:16:06.960 03/07/2019
1155,,,
1156,0.1591,0.5439,11:16:07.140 03/07/2019
1157,,,
1158,0.1584,0.5442,11:16:07.320 03/07/2019
1159,,,
1160,0.1583,0.5434,11:16:07.500 03/07/2019
1161,,,
1162,0.1579,0.5443,11:16:07.680 03/07/2019
1163,,,
1164,0.1581,0.5439,11:16:07.860 03/07/2019
1165,,,
1166,0.1558,0.5451,11:16:08.040 03/07/2019
1167,,,
1168,0.1545,0.5444,11:16:08.220 03/07/2019
1169,,,
1170,0.1545,0.5444,11:16:08.400 03/07/2019
1171,,,
1172,0.1517,0.5421,11:16:08.580 03/07/2019
1173,,,
1174,0.1518,0.5422,11:16:08.760 03/07/2019
1175,,,
1176,0.1520,0.5413,11:16:08.940 03/07/2019
1177,,,
1178,0.1495,0.5373,11:16:09.120 03/07/2019
1179,,,
1180,0.1497,0.5363,11:16:09.300 03/07/2019
1181,,,
1182,0.1492,0.5350,11:16:09.480 03/07/2019
1183,,,
1184,0.1497,0.5375,11:16:09.660 03/07/2019
1185,,,
1186,0.1493,0.5369,11:16:09.840 03/07/2019
1187,,,
1188,0.1505,0.5373,11:16:10.020 03/07/2019
1189,,,
1190,0.1494,0.5361,11:16:10.200 03/07/2019
1191,,,
1192,0.1508,0.5367,11:16:10.380 03/07/2019
1193,,,
1194,0.1518,0.5380,11:16:10.560 03/07/2019
1195,,,
1196,0.1523,0.5382,11:16:10.740 03/07/2019
1197,,,
1198,0.1518,0.5384,11:16:10.920 03/07/2019
1199,,,
1200,0.1532,0.5373,11:16:11.100 03/07/2019
1201,,,
1202,0.1531,0.5370,11:16:11.280 03/07/2019
1203,,,
1204,0.1508,0.5379,11:16:11.460 03/07/2019
1205,,,
1206,0.1505,0.5374,11:16:11.640 03/07/2019
1207,,,
1208,0.1504,0.5381,11:16:11.820 03/07/2019
1209,,,
1210,0.1503,0.5380,11:16:12.000 03/07/2019
1211,,,
1212,0.1499,0.5377,11:16:12.240 03/07/2019
1213,,,
1214,0.1497,0.5380,11:16:12.420 03/07/2019
1215,,,
1216,0.1498,0.5373,11:16:12.600 03/07/2019
1217,,,
1218,0.1499,0.5374,11:16:12.780 03/07/2019
1219,,,
1220,0.1514,0.5377,11:16:12.960 03/07/2019
1221,,,
1222,0.1514,0.5381,11:16:13.140 03/07/2019
1223,,,
1224,0.1509,0.5388,11:16:13.320 03/07/2019
1225,,,
1226,0.1510,0.5388,11:16:13.500 03/07/2019
1227,,,
1228,0.1498,0.5373,11:16:13.680 03/07/2019
1229,,,
1230,0.1526,0.5394,11:16:13.860 03/07/2019
1231,,,
1232,0.1523,0.5398,11:16:14.040 03/07/2019
1233,,,
1234,0.1508,0.5364,11:16:14.220 03/07/2019
1235,,,
1236,0.1528,0.5386,11:16:14.400 03/07/2019
1237,,,
1238,0.1541,0.5394,11:16:14.580 03/07/2019
1239,,,
1240,0.1532,0.5384,11:16:14.760 03/07/2019
1241,,,
1242,0.1521,0.5407,11:16:14.940 03/07/2019
1243,,,
1244,0.1530,0.5419,11:16:15.120 03/07/2019
1245,,,
1246,0.1535,0.5398,11:16:15.300 03/07/2019
1247,,,
1248,0.1533,0.5385,11:16:15.480 03/07/2019
1249,,,
1250,0.1520,0.5388,11:16:15.660 03/07/2019
1251,,,
1252,0.1534,0.5423,11:16:15.840 03/07/2019
1253,,,
1254,0.1524,0.5430,11:16:16.020 03/07/2019
1255,,,
1256,0.1514,0.5436,11:16:16.200 03/07/2019
1257,,,
1258,0.1501,0.5435,11:16:16.380 03/07/2019
1259,,,
1260,0.1510,0.5431,11:16:16.560 03/07/2019
1261,,,
1262,0.1493,0.5443,11:16:16.740 03/07/2019
1263,,,
1264,0.1488,0.5434,11:16:16.920 03/07/2019
1265,,,
1266,0.1464,0.5437,11:16:17.100 03/07/2019
1267,,,
1268,0.1466,0.5434,11:16:17.280 03/07/2019
1269,,,
1270,0.1465,0.5440,11:16:17.460 03/07/2019
1271,,,
1272,0.1460,0.5427,11:16:17.640 03/07/2019
1273,,,
1274,0.1448,0.5435,11:16:17.820 03/07/2019
1275,,,
1276,0.1448,0.5418,11:16:18.000 03/07/2019
1277,,,
1278,0.1440,0.5417,11:16:18.180 03/07/2019
1279,,,
1280,0.1455,0.5402,11:16:18.360 03/07/2019
1281,,,
1282,0.1445,0.5393,11:16:18.540 03/07/2019
1283,,,
1284,0.1438,0.5405,11:16:18.720 03/07/2019
1285,,,
1286,0.1446,0.5402,11:16:18.900 03/07/2019
1287,,,
1288,0.1450,0.5393,11:16:19.080 03/07/2019
1289,,,
1290,0.1472,0.5395,11:16:19.260 03/07/2019
1291,,,
1292,0.1472,0.5391,11:16:19.440 03/07/2019
1293,,,
1294,0.1482,0.5378,11:16:19.620 03/07/2019
1295,,,
1296,0.1479,0.5377,11:16:19.800 03/07/2019
1297,,,
1298,0.1481,0.5376,11:16:19.980 03/07/2019
1299,,,
1300,0.1493,0.5376,11:16:20.160 03/07/2019
1301,,,
1302,0.1495,0.5373,11:16:20.340 03/07/2019
1303,,,
1304,0.1502,0.5382,11:16:20.520 03/07/2019
1305,,,
1306,0.1510,0.5391,11:16:20.700 03/07/2019
1307,,,
1308,0.1517,0.5389,11:16:20.880 03/07/2019
1309,,,
1310,0.1526,0.5402,11:16:21.060 03/07/2019
1311,,,
1312,0.1525,0.5396,11:16:21.240 03/07/2019
1313,,,
1314,0.1524,0.5392,11:16:21.420 03/07/2019
1315,,,
1316,0.1515,0.5398,11:16:21.600 03/07/2019
1317,,,
1318,0.1541,0.5381,11:16:21.780 03/07/2019
1319,,,
1320,0.1542,0.5381,11:16:21.960 03/07/2019
1321,,,
1322,0.1539,0.5389,11:16:22.140 03/07/2019
1323,,,
1324,0.1527,0.5390,11:16:22.320 03/07/2019
1325,,,
1326,0.1533,0.5386,11:16:22.500 03/07/2019
1327,,,
1328,0.1523,0.5388,11:16:22.680 03/07/2019
1329,,,
1330,0.1526,0.5390,11:16:22.860 03/07/2019
1331,,,
1332,0.1545,0.5395,11:16:23.040 03/07/2019
1333,,,
1334,0.1540,0.5393,11:16:23.220 03/07/2019
1335,,,
1336,0.1535,0.5392,11:16:23.400 03/07/2019
1337,,,
1338,0.1535,0.5394,11:16:23.580 03/07/2019
1339,,,
1340,0.1520,0.5394,11:16:23.760 03/07/2019
1341,,,
1342,0.1514,0.5389,11:16:23.940 03/07/2019
1343,,,
1344,0.1496,0.5382,11:16:24.180 03/07/2019
1345,,,
1346,0.1499,0.5381,11:16:24.360 03/07/2019
1347,,,
1348,0.1480,0.5374,11:16:24.540 03/07/2019
1349,,,
1350,0.1475,0.5374,11:16:24.720 03/07/2019
1351,,,
1352,0.1480,0.5372,11:16:24.900 03/07/2019
1353,,,
1354,0.1451,0.5368,11:16:25.080 03/07/2019
1355,,,
1356,0.1454,0.5360,11:16:25.260 03/07/2019
1357,,,
1358,0.1452,0.5354,11:16:25.440 03/07/2019
1359,,,
1360,0.1446,0.5357,11:16:25.620 03/07/2019
1361,,,
1362,0.1441,0.5350,11:16:25.800 03/07/2019
1363,,,
1364,0.1443,0.5347,11:16:25.980 03/07/2019
1365,,,
1366,0.1437,0.5347,11:16:26.160 03/07/2019
1367,,,
1368,0.1426,0.5344,11:16:26.340 03/07/2019
1369,,,
1370,0.1430,0.5349,11:16:26.520 03/07/2019
1371,,,
1372,0.1436,0.5350,11:16:26.700 03/07/2019
1373,,,
1374,0.1430,0.5350,11:16:26.880 03/07/2019
1375,,,
1376,0.1443,0.5344,11:16:27.060 03/07/2019
1377,,,
1378,0.1422,0.5307,11:16:27.240 03/07/2019
1379,,,
1380,0.1443,0.5303,11:16:27.420 03/07/2019
1381,,,
1382,0.1417,0.5317,11:16:27.600 03/07/2019
1383,,,
1384,0.1427,0.5300,11:16:27.780 03/07/2019
1385,,,
1386,0.1439,0.5325,11:16:27.960 03/07/2019
1387,,,
1388,0.1439,0.5347,11:16:28.140 03/07/2019
1389,,,
1390,0.1434,0.5336,11:16:28.320 03/07/2019
1391,,,
1392,0.1444,0.5343,11:16:28.500 03/07/2019
1393,,,
1394,0.1436,0.5341,11:16:28.680 03/07/2019
1395,,,
1396,0.1433,0.5337,11:16:28.860 03/07/2019
1397,,,
1398,0.1440,0.5338,11:16:29.040 03/07/2019
1399,,,
1400,0.1433,0.5328,11:16:29.220 03/07/2019
1401,,,
1402,0.1425,0.5326,11:16:29.400 03/07/2019
1403,,,
1404,0.1426,0.5312,11:16:29.580 03/07/2019
1405,,,
1406,0.1451,0.5316,11:16:29.760 03/07/2019
1407,,,
1408,0.1447,0.5331,11:16:29.940 03/07/2019
1409,,,
1410,0.1446,0.5309,11:16:30.180 03/07/2019
1411,,,
1412,0.1450,0.5301,11:16:30.360 03/07/2019
1413,,,
1414,0.1437,0.5298,11:16:30.540 03/07/2019
1415,,,
1416,0.1434,0.5291,11:16:30.720 03/07/2019
1417,,,
1418,0.1429,0.5292,11:16:30.900 03/07/2019
1419,,,
1420,0.1457,0.5317,11:16:31.080 03/07/2019
1421,,,
1422,0.1460,0.5302,11:16:31.260 03/07/2019
1423,,,
1424,0.1465,0.5312,11:16:31.440 03/07/2019
1425,,,
1426,0.1471,0.5330,11:16:31.620 03/07/2019
1427,,,
1428,0.1473,0.5338,11:16:31.800 03/07/2019
1429,,,
1430,0.1500,0.5335,11:16:31.980 03/07/2019
1431,,,
1432,0.1509,0.5334,11:16:32.220 03/07/2019
1433,,,
1434,0.1497,0.5323,11:16:32.400 03/07/2019
1435,,,
1436,0.1514,0.5306,11:16:32.640 03/07/2019
1437,,,
1438,0.1518,0.5286,11:16:32.820 03/07/2019
1439,,,
1440,0.1538,0.5276,11:16:33.000 03/07/2019
1441,,,
1442,0.1511,0.5278,11:16:33.180 03/07/2019
1443,,,
1444,0.1556,0.5288,11:16:33.360 03/07/2019
1445,,,
1446,0.1552,0.5296,11:16:33.540 03/07/2019
1447,,,
1448,0.1555,0.5291,11:16:33.720 03/07/2019
1449,,,
1450,0.1569,0.5337,11:16:33.900 03/07/2019
1451,,,
1452,0.1562,0.5336,11:16:34.080 03/07/2019
1453,,,
1454,0.1586,0.5327,11:16:34.320 03/07/2019
1455,,,
1456,0.1572,0.5334,11:16:34.500 03/07/2019
1457,,,
1458,0.1557,0.5314,11:16:34.680 03/07/2019
1459,,,
1460,0.1583,0.5338,11:16:34.860 03/07/2019
1461,,,
1462,0.1578,0.5336,11:16:35.040 03/07/2019
1463,,,
1464,0.1578,0.5333,11:16:35.220 03/07/2019
1465,,,
1466,0.1588,0.5342,11:16:35.400 03/07/2019
1467,,,
1468,0.1569,0.5339,11:16:35.580 03/07/2019
1469,,,
1470,0.1552,0.5329,11:16:35.760 03/07/2019
1471,,,
1472,0.1550,0.5328,11:16:35.940 03/07/2019
1473,,,
1474,0.1538,0.5331,11:16:36.120 03/07/2019
1475,,,
1476,0.1560,0.5346,11:16:36.300 03/07/2019
1477,,,
1478,0.1552,0.5352,11:16:36.480 03/07/2019
1479,,,
1480,0.1565,0.5353,11:16:36.660 03/07/2019
1481,,,
1482,0.1561,0.5359,11:16:36.840 03/07/2019
1483,,,
1484,0.1572,0.5359,11:16:37.020 03/07/2019
1485,,,
1486,0.1572,0.5368,11:16:37.200 03/07/2019
1487,,,
1488,0.1571,0.5369,11:16:37.380 03/07/2019
1489,,,
1490,0.1564,0.5367,11:16:37.560 03/07/2019
1491,,,
1492,0.1572,0.5368,11:16:37.740 03/07/2019
1493,,,
1494,0.1577,0.5373,11:16:37.920 03/07/2019
1495,,,
1496,0.1542,0.5378,11:16:38.100 03/07/2019
1497,,,
1498,0.1539,0.5376,11:16:38.280 03/07/2019
1499,,,
1500,0.1532,0.5376,11:16:38.460 03/07/2019
1501,,,
1502,0.1530,0.5366,11:16:38.640 03/07/2019
1503,,,
1504,0.1533,0.5363,11:16:38.820 03/07/2019
1505,,,
1506,0.1510,0.5354,11:16:39.000 03/07/2019
1507,,,
1508,0.1505,0.5340,11:16:39.180 03/07/2019
1509,,,
1510,0.1491,0.5377,11:16:39.360 03/07/2019
1511,,,
1512,0.1488,0.5379,11:16:39.540 03/07/2019
1513,,,
1514,0.1485,0.5378,11:16:39.720 03/07/2019
1515,,,
1516,0.1512,0.5362,11:16:39.900 03/07/2019
1517,,,
1518,0.1500,0.5353,11:16:40.080 03/07/2019
1519,,,
1520,0.1498,0.5361,11:16:40.260 03/07/2019
1521,,,
1522,0.1492,0.5390,11:16:40.440 03/07/2019
1523,,,
1524,0.1482,0.5391,11:16:40.620 03/07/2019
1525,,,
1526,0.1481,0.5391,11:16:40.800 03/07/2019
1527,,,
1528,0.1464,0.5385,11:16:40.980 03/07/2019
1529,,,
1530,0.1467,0.5387,11:16:41.160 03/07/2019
1531,,,
1532,0.1483,0.5370,11:16:41.340 03/07/2019
1533,,,
1534,0.1482,0.5374,11:16:41.520 03/07/2019
1535,,,
1536,0.1465,0.5366,11:16:41.700 03/07/2019
1537,,,
1538,0.1462,0.5363,11:16:41.880 03/07/2019
1539,,,
1540,0.1453,0.5364,11:16:42.060 03/07/2019
1541,,,
1542,0.1440,0.5336,11:16:42.300 03/07/2019
1543,,,
1544,0.1420,0.5329,11:16:42.480 03/07/2019
1545,,,
1546,0.1417,0.5334,11:16:42.660 03/07/2019
1547,,,
1548,0.1402,0.5324,11:16:42.840 03/07/2019
1549,,,
1550,0.1393,0.5328,11:16:43.020 03/07/2019
1551,,,
1552,0.1386,0.5320,11:16:43.200 03/07/2019
1553,,,
1554,0.1380,0.5310,11:16:43.380 03/07/2019
1555,,,
1556,0.1368,0.5306,11:16:43.560 03/07/2019
1557,,,
1558,0.1359,0.5292,11:16:43.740 03/07/2019
1559,,,
1560,0.1373,0.5310,11:16:43.920 03/07/2019
1561,,,
1562,0.1374,0.5305,11:16:44.100 03/07/2019
1563,,,
1564,0.1363,0.5305,11:16:44.280 03/07/2019
1565,,,
1566,0.1362,0.5306,11:16:44.460 03/07/2019
1567,,,
1568,0.1368,0.5306,11:16:44.640 03/07/2019
1569,,,
1570,0.1363,0.5306,11:16:44.820 03/07/2019
1571,,,
1572,0.1371,0.5312,11:16:45.000 03/07/2019
1573,,,
1574,0.1357,0.5317,11:16:45.180 03/07/2019
1575,,,
1576,0.1363,0.5329,11:16:45.360 03/07/2019
1577,,,
1578,0.1373,0.5330,11:16:45.540 03/07/2019
1579,,,
1580,0.1385,0.5337,11:16:45.720 03/07/2019
1581,,,
1582,0.1378,0.5334,11:16:45.900 03/07/2019
1583,,,
1584,0.1385,0.5316,11:16:46.080 03/07/2019
1585,,,
1586,0.1428,0.5329,11:16:46.260 03/07/2019
1587,,,
1588,0.1447,0.5320,11:16:46.440 03/07/2019
1589,,,
1590,0.1443,0.5314,11:16:46.620 03/07/2019
1591,,,
1592,0.1453,0.5328,11:16:46.800 03/07/2019
1593,,,
1594,0.1442,0.5331,11:16:46.980 03/07/2019
1595,,,
1596,0.1501,0.5365,11:16:47.160 03/07/2019
1597,,,
1598,0.1509,0.5364,11:16:47.340 03/07/2019
1599,,,
1600,0.1509,0.5368,11:16:47.520 03/07/2019
1601,,,
1602,0.1517,0.5345,11:16:47.700 03/07/2019
1603,,,
1604,0.1534,0.5359,11:16:47.880 03/07/2019
1605,,,
1606,0.1537,0.5351,11:16:48.060 03/07/2019
1607,,,
1608,0.1530,0.5339,11:16:48.240 03/07/2019
1609,,,
1610,0.1540,0.5349,11:16:48.420 03/07/2019
1611,,,
1612,0.1584,0.5363,11:16:48.600 03/07/2019
1613,,,
1614,0.1590,0.5358,11:16:48.780 03/07/2019
1615,,,
1616,0.1615,0.5377,11:16:48.960 03/07/2019
1617,,,
1618,0.1607,0.5378,11:16:49.140 03/07/2019
1619,,,
1620,0.1611,0.5388,11:16:49.320 03/07/2019
1621,,,
1622,0.1620,0.5378,11:16:49.500 03/07/2019
1623,,,
1624,0.1625,0.5381,11:16:49.680 03/07/2019
1625,,,
1626,0.1621,0.5386,11:16:49.860 03/07/2019
1627,,,
1628,0.1623,0.5387,11:16:50.040 03/07/2019
1629,,,
1630,0.1626,0.5380,11:16:50.220 03/07/2019
1631,,,
1632,0.1620,0.5385,11:16:50.400 03/07/2019
1633,,,
1634,0.1629,0.5384,11:16:50.580 03/07/2019
1635,,,
1636,0.1619,0.5389,11:16:50.760 03/07/2019
1637,,,
1638,0.1628,0.5385,11:16:50.940 03/07/2019
1639,,,
1640,0.1631,0.5404,11:16:51.120 03/07/2019
1641,,,
1642,0.1627,0.5392,11:16:51.300 03/07/2019
1643,,,
1644,0.1627,0.5402,11:16:51.480 03/07/2019
1645,,,
1646,0.1634,0.5421,11:16:51.660 03/07/2019
1647,,,
1648,0.1629,0.5423,11:16:51.840 03/07/2019
1649,,,
1650,0.1628,0.5414,11:16:52.020 03/07/2019
1651,,,
1652,0.1625,0.5414,11:16:52.200 03/07/2019
1653,,,
1654,0.1607,0.5432,11:16:52.380 03/07/2019
1655,,,
1656,0.1605,0.5424,11:16:52.560 03/07/2019
1657,,,
1658,0.1590,0.5408,11:16:52.740 03/07/2019
1659,,,
1660,0.1588,0.5412,11:16:52.920 03/07/2019
1661,,,
1662,0.1596,0.5412,11:16:53.100 03/07/2019
1663,,,
1664,0.1585,0.5411,11:16:53.280 03/07/2019
1665,,,
1666,0.1586,0.5407,11:16:53.460 03/07/2019
1667,,,
1668,0.1563,0.5411,11:16:53.640 03/07/2019
1669,,,
1670,0.1569,0.5417,11:16:53.820 03/07/2019
1671,,,
1672,0.1564,0.5416,11:16:54.000 03/07/2019
1673,,,
1674,0.1579,0.5422,11:16:54.240 03/07/2019
1675,,,
1676,0.1571,0.5414,11:16:54.420 03/07/2019
1677,,,
1678,0.1570,0.5422,11:16:54.600 03/07/2019
1679,,,
1680,0.1580,0.5424,11:16:54.780 03/07/2019
1681,,,
1682,0.1577,0.5437,11:16:54.960 03/07/2019
1683,,,
1684,0.1582,0.5432,11:16:55.140 03/07/2019
1685,,,
1686,0.1573,0.5435,11:16:55.320 03/07/2019
1687,,,
1688,0.1578,0.5439,11:16:55.500 03/07/2019
1689,,,
1690,0.1572,0.5442,11:16:55.680 03/07/2019
1691,,,
1692,0.1563,0.5440,11:16:55.860 03/07/2019
1693,,,
