Index,relPosN,relPosE,UTC
194,1.1345,0.1210,11:14:40.260 03/07/2019
195,,,
196,1.1346,0.1208,11:14:40.440 03/07/2019
197,,,
198,1.1345,0.1169,11:14:40.620 03/07/2019
199,,,
200,1.1322,0.1147,11:14:40.800 03/07/2019
201,,,
202,1.1314,0.1145,11:14:40.980 03/07/2019
203,,,
204,1.1417,0.1127,11:14:41.160 03/07/2019
205,,,
206,1.1454,0.1112,11:14:41.340 03/07/2019
207,,,
208,1.1451,0.1109,11:14:41.520 03/07/2019
209,,,
210,1.1436,0.1115,11:14:41.700 03/07/2019
211,,,
212,1.1427,0.1112,11:14:41.880 03/07/2019
213,,,
214,1.1327,0.1262,11:14:42.060 03/07/2019
215,,,
216,1.1284,0.1315,11:14:42.240 03/07/2019
217,,,
218,1.1266,0.1315,11:14:42.420 03/07/2019
219,,,
220,1.1289,0.1298,11:14:42.600 03/07/2019
221,,,
222,1.1287,0.1290,11:14:42.780 03/07/2019
223,,,
224,1.1284,0.1274,11:14:42.960 03/07/2019
225,,,
226,1.1031,0.1297,11:14:43.140 03/07/2019
227,,,
228,1.0936,0.1310,11:14:43.320 03/07/2019
229,,,
230,1.0932,0.1329,11:14:43.500 03/07/2019
231,,,
232,1.0969,0.1322,11:14:43.680 03/07/2019
233,,,
234,1.0993,0.1329,11:14:43.860 03/07/2019
235,,,
236,1.0987,0.1334,11:14:44.040 03/07/2019
237,,,
238,1.0999,0.1347,11:14:44.220 03/07/2019
239,,,
240,1.0660,0.1317,11:14:44.400 03/07/2019
241,,,
242,1.0527,0.1322,11:14:44.580 03/07/2019
243,,,
244,1.0503,0.1375,11:14:44.760 03/07/2019
245,,,
246,1.0511,0.1396,11:14:44.940 03/07/2019
247,,,
248,1.0527,0.1403,11:14:45.120 03/07/2019
249,,,
250,1.0065,0.1372,11:14:45.300 03/07/2019
251,,,
252,0.9892,0.1370,11:14:45.480 03/07/2019
253,,,
254,0.9862,0.1366,11:14:45.660 03/07/2019
255,,,
256,0.9882,0.1365,11:14:45.840 03/07/2019
257,,,
258,0.9912,0.1381,11:14:46.020 03/07/2019
259,,,
260,0.9926,0.1379,11:14:46.200 03/07/2019
261,,,
262,0.9393,0.1399,11:14:46.380 03/07/2019
263,,,
264,0.9205,0.1435,11:14:46.560 03/07/2019
265,,,
266,0.9180,0.1450,11:14:46.740 03/07/2019
267,,,
268,0.9206,0.1450,11:14:46.920 03/07/2019
269,,,
270,0.9222,0.1477,11:14:47.100 03/07/2019
271,,,
272,0.9224,0.1475,11:14:47.280 03/07/2019
273,,,
274,0.8743,0.1403,11:14:47.460 03/07/2019
275,,,
276,0.8569,0.1391,11:14:47.640 03/07/2019
